barcode,name,location
840276074684.0,7009-6-Copper Rose Dot-XL,A24-304
840276074691.0,7009-6-Copper Rose Dot-2X-3X,A24-305
840276074585.0,7009-6-Indigo Dot-XS,A24-400
840276074592.0,7009-6-Indigo Dot-S,A24-401
840276074608.0,7009-6-Indigo Dot-M,A24-402
840276074615.0,7009-6-Indigo Dot-L,A24-403
840276074622.0,7009-6-Indigo Dot-XL,A24-404
840276074639.0,7009-6-Indigo Dot-2X-3X,A24-405
840276068133.0,1490-8-Black-2X-3X,A24-500
840276073014.0,2300-0-Copper Rose-2X-3X,A24-501
840276072895.0,2300-0-Indigo-2X-3X,A24-502
840276060380.0,2900-6-Surf-2X-3X,A24-503
840276066061.0,5200-2-Grey-XL,A24-504
840276067730.0,7900-3-Midnight-XS,A24-505
840276065606.0,5200-7-Grey-XS,A25-100
840276065613.0,5200-7-Grey-S,A25-101
840276065620.0,5200-7-Grey-M,A25-102
840276065637.0,5200-7-Grey-L,A25-103
840276065644.0,5200-7-Grey-XL,A25-104
840276065651.0,5200-7-Grey-2X-3X,A25-105
840276065668.0,5200-7-Midnight-XS,A25-200
840276065675.0,5200-7-Midnight-S,A25-201
840276065682.0,5200-7-Midnight-M,A25-202
840276065699.0,5200-7-Midnight-L,A25-203
840276065705.0,5200-7-Midnight-XL,A25-204
840276065712.0,5200-7-Midnight-2X-3X,A25-205
840276074769.0,7009-2-Copper Rose Dot-XS,A25-300
840276074776.0,7009-2-Copper Rose Dot-S,A25-301
840276074783.0,7009-2-Copper Rose Dot-M,A25-302
840276074790.0,7009-2-Copper Rose Dot-L,A25-303
840276074806.0,7009-2-Copper Rose Dot-XL,A25-304
840276074813.0,7009-2-Copper Rose Dot-2X-3X,A25-305
840276074707.0,7009-2-Indigo Dot-XS,A25-400
840276074714.0,7009-2-Indigo Dot-S,A25-401
840276074721.0,7009-2-Indigo Dot-M,A25-402
